"lakeid","yr_winter","maxdepth.t"
"Allequash Lake",1985,7.77799999999996
"Allequash Lake",1986,7.78599999999994
"Allequash Lake",1987,7.92399999999998
"Allequash Lake",1988,7.64099999999996
"Allequash Lake",1989,7.70399999999995
"Allequash Lake",1990,7.72299999999996
"Allequash Lake",1991,7.65599999999995
"Allequash Lake",1992,7.59199999999998
"Allequash Lake",1993,7.613
"Allequash Lake",1994,7.65299999999996
"Allequash Lake",1995,7.37199999999996
"Allequash Lake",1996,7.47299999999996
"Allequash Lake",1997,7.43899999999996
"Allequash Lake",1998,7.40899999999999
"Allequash Lake",1999,7.387
"Allequash Lake",2000,7.59599999999995
"Allequash Lake",2001,7.39699999999999
"Allequash Lake",2002,7.45999999999998
"Allequash Lake",2003,7.43899999999996
"Allequash Lake",2004,7.59299999999996
"Allequash Lake",2005,7.40599999999995
"Allequash Lake",2006,7.39999999999998
"Allequash Lake",2007,7.41699999999997
"Allequash Lake",2008,7.416
"Allequash Lake",2009,7.44799999999998
"Allequash Lake",2010,7.52499999999998
"Allequash Lake",2011,7.46699999999998
"Allequash Lake",2012,7.43199999999996
"Allequash Lake",2013,7.49299999999999
"Allequash Lake",2014,7.69599999999997
"Allequash Lake",2015,7.45099999999996
"Allequash Lake",2016,7.40799999999996
"Big Musky Lake",1982,20.63
"Big Musky Lake",1983,20.94
"Big Musky Lake",1984,21.3
"Big Musky Lake",1985,20.726
"Big Musky Lake",1986,20.843
"Big Musky Lake",1987,20.8
"Big Musky Lake",1988,20.369
"Big Musky Lake",1989,20.182
"Big Musky Lake",1990,20.063
"Big Musky Lake",1991,20.043
"Big Musky Lake",1992,20.241
"Big Musky Lake",1993,20.318
"Big Musky Lake",1994,20.479
"Big Musky Lake",1995,20.473
"Big Musky Lake",1996,20.512
"Big Musky Lake",1997,20.793
"Big Musky Lake",1998,20.802
"Big Musky Lake",1999,20.404
"Big Musky Lake",2000,20.281
"Big Musky Lake",2001,20.25
"Big Musky Lake",2002,20.13
"Big Musky Lake",2003,20.496
"Big Musky Lake",2004,20.291
"Big Musky Lake",2005,20.291
"Big Musky Lake",2006,20.075
"Big Musky Lake",2007,19.994
"Big Musky Lake",2008,19.587
"Big Musky Lake",2009,19.478
"Big Musky Lake",2010,19.255
"Big Musky Lake",2011,19.455
"Big Musky Lake",2012,19.509
"Big Musky Lake",2013,19.406
"Big Musky Lake",2014,19.65
"Big Musky Lake",2015,20.077
"Big Musky Lake",2016,19.989
"Crystal Bog",1985,2.34800000000001
"Crystal Bog",1986,2.37900000000002
"Crystal Bog",1987,2.423
"Crystal Bog",1988,2.24799999999999
"Crystal Bog",1989,2.33100000000002
"Crystal Bog",1990,2.13799999999998
"Crystal Bog",1991,2.45400000000001
"Crystal Bog",1992,2.33600000000001
"Crystal Bog",1993,2.26900000000001
"Crystal Bog",1994,2.27100000000002
"Crystal Bog",1995,2.25
"Crystal Bog",1996,2.34800000000001
"Crystal Bog",1997,2.435
"Crystal Bog",1998,2.387
"Crystal Bog",1999,2.14600000000002
"Crystal Bog",2000,2.13400000000001
"Crystal Bog",2001,2.16199999999998
"Crystal Bog",2002,2.20699999999999
"Crystal Bog",2003,2.255
"Crystal Bog",2004,2.12599999999998
"Crystal Bog",2005,2.14800000000002
"Crystal Bog",2006,2.18000000000001
"Crystal Bog",2007,2.06599999999997
"Crystal Bog",2008,1.97800000000001
"Crystal Bog",2009,1.98700000000002
"Crystal Bog",2010,1.97899999999998
"Crystal Bog",2011,2.101
"Crystal Bog",2012,2.02199999999999
"Crystal Bog",2013,2.06599999999997
"Crystal Bog",2014,2.10399999999998
"Crystal Bog",2015,2.12400000000002
"Crystal Bog",2016,2.09500000000003
"Crystal Lake",1982,19.936
"Crystal Lake",1983,20.1659999999999
"Crystal Lake",1984,20.2259999999999
"Crystal Lake",1985,20.1759999999999
"Crystal Lake",1986,20.1349999999999
"Crystal Lake",1987,20.107
"Crystal Lake",1988,19.5869999999999
"Crystal Lake",1989,19.4689999999999
"Crystal Lake",1990,19.348
"Crystal Lake",1991,19.424
"Crystal Lake",1992,19.598
"Crystal Lake",1993,19.7409999999999
"Crystal Lake",1994,19.831
"Crystal Lake",1995,19.888
"Crystal Lake",1996,19.934
"Crystal Lake",1997,20.153
"Crystal Lake",1998,20.2139999999999
"Crystal Lake",1999,19.7499999999999
"Crystal Lake",2000,19.679
"Crystal Lake",2001,19.571
"Crystal Lake",2002,19.4759999999999
"Crystal Lake",2003,19.8099999999999
"Crystal Lake",2004,19.59
"Crystal Lake",2005,19.622
"Crystal Lake",2006,19.446
"Crystal Lake",2007,19.2289999999999
"Crystal Lake",2008,18.97
"Crystal Lake",2009,18.893
"Crystal Lake",2010,18.677
"Crystal Lake",2011,18.8849999999999
"Crystal Lake",2012,18.819
"Crystal Lake",2013,18.751
"Crystal Lake",2014,19.0599999999999
"Crystal Lake",2015,19.4669999999999
"Crystal Lake",2016,19.4429999999999
"Sparkling Lake",1985,19.687
"Sparkling Lake",1986,19.944
"Sparkling Lake",1987,19.755
"Sparkling Lake",1988,18.999
"Sparkling Lake",1989,19.122
"Sparkling Lake",1990,19.102
"Sparkling Lake",1991,19.151
"Sparkling Lake",1992,19.523
"Sparkling Lake",1993,19.577
"Sparkling Lake",1994,19.56
"Sparkling Lake",1995,19.502
"Sparkling Lake",1996,19.569
"Sparkling Lake",1997,19.827
"Sparkling Lake",1998,19.787
"Sparkling Lake",1999,19.283
"Sparkling Lake",2000,19.219
"Sparkling Lake",2001,19.245
"Sparkling Lake",2002,19.165
"Sparkling Lake",2003,19.468
"Sparkling Lake",2004,19.362
"Sparkling Lake",2005,19.343
"Sparkling Lake",2006,19.1
"Sparkling Lake",2007,18.995
"Sparkling Lake",2008,18.777
"Sparkling Lake",2009,18.736
"Sparkling Lake",2010,18.551
"Sparkling Lake",2011,18.985
"Sparkling Lake",2012,18.976
"Sparkling Lake",2013,18.737
"Sparkling Lake",2014,19.112
"Sparkling Lake",2015,19.541
"Sparkling Lake",2016,19.405
"Trout Bog",1985,7.803
"Trout Bog",1986,7.839
"Trout Bog",1987,7.80399999999997
"Trout Bog",1988,7.536
"Trout Bog",1989,7.23499999999996
"Trout Bog",1990,7.41899999999998
"Trout Bog",1991,7.72399999999999
"Trout Bog",1992,7.80599999999998
"Trout Bog",1993,7.68699999999995
"Trout Bog",1994,7.69799999999998
"Trout Bog",1995,7.75099999999998
"Trout Bog",1996,7.85499999999996
"Trout Bog",1997,7.82799999999997
"Trout Bog",1998,7.74899999999997
"Trout Bog",1999,7.55599999999998
"Trout Bog",2000,7.62799999999999
"Trout Bog",2001,7.73499999999996
"Trout Bog",2002,7.73399999999998
"Trout Bog",2003,7.70299999999997
"Trout Bog",2004,7.42499999999995
"Trout Bog",2005,7.48999999999995
"Trout Bog",2006,7.654
"Trout Bog",2007,7.505
"Trout Bog",2008,7.52299999999997
"Trout Bog",2009,7.38399999999996
"Trout Bog",2010,7.32999999999998
"Trout Bog",2011,7.72299999999996
"Trout Bog",2012,7.524
"Trout Bog",2013,7.39999999999998
"Trout Bog",2014,7.67099999999999
"Trout Bog",2015,7.69799999999998
"Trout Bog",2016,7.64799999999997
"Trout Lake",1985,35.441
"Trout Lake",1986,35.492
"Trout Lake",1987,35.415
"Trout Lake",1988,35.334
"Trout Lake",1989,35.342
"Trout Lake",1990,35.289
"Trout Lake",1991,35.408
"Trout Lake",1992,35.465
"Trout Lake",1993,35.423
"Trout Lake",1994,35.608
"Trout Lake",1995,35.426
"Trout Lake",1996,35.439
"Trout Lake",1997,35.475
"Trout Lake",1998,35.504
"Trout Lake",1999,35.402
"Trout Lake",2000,35.335
"Trout Lake",2001,35.36
"Trout Lake",2002,35.365
"Trout Lake",2003,35.415
"Trout Lake",2004,35.213
"Trout Lake",2005,35.371
"Trout Lake",2006,35.378
"Trout Lake",2007,35.317
"Trout Lake",2008,35.338
"Trout Lake",2009,35.272
"Trout Lake",2010,35.306
"Trout Lake",2011,35.399
"Trout Lake",2012,35.289
"Trout Lake",2013,35.376
"Trout Lake",2014,35.362
"Trout Lake",2015,35.473
"Trout Lake",2016,35.411
